hamspace, 0020
hamexclaim, 0021
hamcomma, 002C
hamfullstop, 002E
hamquery, 003F
hamaltbegin, 007B
hammetaalt, 007C
hamaltend, 007D
hamfist, E000
hamflathand, E001
hamfinger2, E002
hamfinger23, E003
hamfinger23spread, E004
hamfinger2345, E005
hampinch12, E006
hampinchall, E007
hampinch12open, E008
hamcee12, E009
hamceeall, E00A
hamceeopen, E00B
hamthumboutmod, E00C
hamthumbacrossmod, E00D
hamthumbopenmod, E00E
hamfingerstraightmod, E010
hamfingerbendmod, E011
hamfingerhookmod, E012
hamdoublebent, E013
hamdoublehooked, E014
hamextfingeru, E020
hamextfingerur, E021
hamextfingerr, E022
hamextfingerdr, E023
hamextfingerd, E024
hamextfingerdl, E025
hamextfingerl, E026
hamextfingerul, E027
hamextfingerol, E028
hamextfingero, E029
hamextfingeror, E02A
hamextfingeril, E02B
hamextfingeri, E02C
hamextfingerir, E02D
hamextfingerui, E02E
hamextfingerdi, E02F
hamextfingerdo, E030
hamextfingeruo, E031
hampalmu, E038
hampalmur, E039
hampalmr, E03A
hampalmdr, E03B
hampalmd, E03C
hampalmdl, E03D
hampalml, E03E
hampalmul, E03F
hamhead, E040
hamheadtop, E041
hamforehead, E042
hameyebrows, E043
hameyes, E044
hamnose, E045
hamnostrils, E046
hamear, E047
hamearlobe, E048
hamcheek, E049
hamlips, E04A
hamtongue, E04B
hamteeth, E04C
hamchin, E04D
hamunderchin, E04E
hamneck, E04F
hamshouldertop, E050
hamshoulders, E051
hamchest, E052
hamstomach, E053
hambelowstomach, E054	(Also 00EE)
hamlrbeside, E058		(Also 00EF)
hamlrat, E059
hamcoreftag, E05A
hamcorefref, E05B
hamneutralspace, E05F
hamupperarm, E060
hamelbow, E061
hamelbowinside, E062
hamlowerarm, E063
hamwristback, E064
hamwristpulse, E065
hamthumbball, E066
hampalm, E067
hamhandback, E068
hamthumbside, E069
hampinkyside, E06A
hamthumb, E070
hamindexfinger, E071
hammiddlefinger, E072
hamringfinger, E073
hampinky, E074
hamfingertip, E075
hamfingernail, E076
hamfingerpad, E077
hamfingermidjoint, E078
hamfingerbase, E079
hamfingerside, E07A
hamwristtopulse, E07C
hamwristtoback, E07D
hamwristtothumb, E07E
hamwristtopinky, E07F
hammoveu, E080
hammoveur, E081
hammover, E082
hammovedr, E083
hammoved, E084
hammovedl, E085
hammovel, E086
hammoveul, E087
hammoveol, E088
hammoveo, E089
hammoveor, E08A
hammoveil, E08B
hammovei, E08C
hammoveir, E08D
hammoveui, E08E
hammovedi, E08F
hammovedo, E090
hammoveuo, E091
hamcircleo, E092
hamcirclei, E093
hamcircled, E094
hamcircleu, E095
hamcirclel, E096
hamcircler, E097
hamcircleul, E098
hamcircledr, E099
hamcircleur, E09A
hamcircledl, E09B
hamcircleol, E09C
hamcircleir, E09D
hamcircleor, E09E
hamcircleil, E09F
hamcircleui, E0A0
hamcircledo, E0A1
hamcircleuo, E0A2
hamcircledi, E0A3
hamfingerplay, E0A4
hamnodding, E0A5
hamswinging, E0A6
hamtwisting, E0A7
hamstircw, E0A8
hamstirccw, E0A9
hamreplace, E0AA
hammovecross, E0AD
hammoveX, E0AE
hamnomotion, E0AF
hamclocku, E0B0
hamclockul, E0B1
hamclockl, E0B2
hamclockdl, E0B3
hamclockd, E0B4
hamclockdr, E0B5
hamclockr, E0B6
hamclockur, E0B7
hamclockfull, E0B8
hamarcl, E0B9
hamarcu, E0BA
hamarcr, E0BB
hamarcd, E0BC
hamwavy, E0BD
hamzigzag, E0BE
hamellipseh, E0C0
hamellipseur, E0C1
hamellipsev, E0C2
hamellipseul, E0C3
hamincreasing, E0C4
hamdecreasing, E0C5
hamsmallmod, E0C6 
hamlargemod, E0C7
hamfast, E0C8
hamslow, E0C9
hamtense, E0CA
hamrest, E0CB
hamhalt, E0CC
hamclose, E0D0
hamtouch, E0D1
haminterlock, E0D2
hamcross, E0D3
hamarmextended, E0D4
hambehind, E0D5
hambrushing, E0D6
hamrepeatfromstart, E0D8
hamrepeatfromstartseveral, E0D9
hamrepeatcontinue, E0DA
hamrepeatcontinueseveral, E0DB
hamrepeatreverse, E0DC
hamalternatingmotion, E0DD
hamseqbegin, E0E0
hamseqend, E0E1
hamparbegin, E0E2
hamparend, E0E3
hamfusionbegin, E0E4
hamfusionend, E0E5
hambetween, E0E6
hamplus, E0E7
hamsymmpar, E0E8
hamsymmlr, E0E9
hamnondominant, E0EA
hamnonipsi, E0EB
hametc, E0EC
hamorirelative, E0ED
hammime, E0F0
hamversion40, E0F1
